facility_type,facility_type_description,subtype,subtype_description,permit_number,premise_name,premise_address,premise_city,premise_state,premise_zip,Inspection_Area,opening_date,ObjectId
695,SWIMMING AREA,191,SWIMMING POOL,78639,PARK LAKE APARTMENTS,7100 LEISURE LANE,LOUISVILLE,KY,40229,27,2007/07/24 00:00:00,269
695,SWIMMING AREA,199,WADING POOL,36003,BRIDGEPOINTE SWIM CLUB,4910 OLDE CREEK WAY,LOUISVILLE,KY,40059,21,1988/09/29 00:00:00,270
695,SWIMMING AREA,191,SWIMMING POOL,91985,ESPORTA FITNESS,4620 TAYLORSVILLE RD,LOUISVILLE,KY,40220,29,2012/11/26 00:00:00,271
695,SWIMMING AREA,191,SWIMMING POOL,29244,CARDINAL OAKS CONDOS,7122 CARDINAL OAKS DR,LOUISVILLE,KY,40214,23,1990/08/22 00:00:00,272
695,SWIMMING AREA,191,SWIMMING POOL,29245,PARTRIDGE MEADOWS APTS,8102 FOUR WINDS DR,LOUISVILLE,KY,40222,26,1988/06/06 00:00:00,273
695,SWIMMING AREA,199,WADING POOL,29246,PEBBLE CREEK APT,6301 FERN VALLEY WAY,LOUISVILLE,KY,40219,27,2005/08/01 00:00:00,274
695,SWIMMING AREA,191,SWIMMING POOL,29248,PEBBLE CREEK APTS,6301 FERN VALLEY WY,LOUISVILLE,KY,40219,27,1988/06/06 00:00:00,275
695,SWIMMING AREA,191,SWIMMING POOL,29254,CASA GRANADA CONDOS,3030 BRECKENRIDGE LN.,LOUISVILLE,KY,40220,28,1988/06/06 00:00:00,276
695,SWIMMING AREA,191,SWIMMING POOL,29256,CASA GRANDE CONDOS OF ZORN,740 ZORN AVE,LOUISVILLE,KY,40206,26,1988/06/06 00:00:00,277
695,SWIMMING AREA,191,SWIMMING POOL,29259,CASA GRANDE OF THIERMAN,161 THIERMAN LN,LOUISVILLE,KY,40207,26,1988/06/06 00:00:00,278
695,SWIMMING AREA,191,SWIMMING POOL,29260,PLAINVIEW APTS,1000 STONE SPRING WAY,LOUISVILLE,KY,40223,25,1988/06/06 00:00:00,279
695,SWIMMING AREA,193,DIVING POOL,29263,JEFFERSONTOWN-PLAINVIEW SWIM,10235 TIMBERWOOD CIR,JEFFERSONTOWN,KY,40223,29,1988/06/06 00:00:00,280
695,SWIMMING AREA,191,SWIMMING POOL,29264,JEFFERSONTOWN-PLAINVIEW SWIM CLUB,10235 TIMBERWOOD CIR,JEFFERSONTOWN,KY,40223,29,1988/06/06 00:00:00,281
695,SWIMMING AREA,191,SWIMMING POOL,29265,JEFFERSONTOWN-PLAINVIEW SWIM CLUB,10235 TIMBERWOOD CIR,LOUISVILLE,KY,40223,29,1988/06/06 00:00:00,282
695,SWIMMING AREA,199,WADING POOL,29267,JEFFERSONTOWN-PLAINVIEW SWIM CLUB,10235 TIMBERWOOD CIR,JEFFERSONTOWN,KY,40223,29,1988/06/06 00:00:00,283
695,SWIMMING AREA,191,SWIMMING POOL,29270,CENTRAL HIGH SCHOOL,1130 W. CHESTNUT ST.,LOUISVILLE,KY,40213,24,1988/06/06 00:00:00,284
695,SWIMMING AREA,191,SWIMMING POOL,29275,POPLAR TERRACE APTS,1106 POPLAR LEVEL PLAZA,LOUISVILLE,KY,40217,28,1991/08/27 00:00:00,285
695,SWIMMING AREA,191,SWIMMING POOL,29277,CHATEAU BOHNE CONDOS,2845 HIKES LANE,LOUISVILLE,KY,40218,27,1988/06/06 00:00:00,286
695,SWIMMING AREA,191,SWIMMING POOL,29289,CHEROKEE GARDEN CONDOS,1040 CHEROKEE RD.,LOUISVILLE,KY,40204,28,1988/06/07 00:00:00,287
695,SWIMMING AREA,191,SWIMMING POOL,29293,RIVER VALLEY CLUB,4701 RIVER RD,LOUISVILLE,KY,40222,26,1988/08/03 00:00:00,288
695,SWIMMING AREA,191,SWIMMING POOL,29300,CHURCHILL PARK SCHOOL,435 BOXLEY AVE.,LOUISVILLE,KY,40209,23,1988/06/07 00:00:00,289
695,SWIMMING AREA,191,SWIMMING POOL,29302,COACH HOUSE CONDOMINIUMS,5800 COACH GATE WYNDE,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,290
695,SWIMMING AREA,191,SWIMMING POOL,29303,COACH GATE CONDOMINIUMS,1111 WELLINGTON PL,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,291
695,SWIMMING AREA,191,SWIMMING POOL,29307,COUNTRY ACRES APARTMENTS,102 COUNTRY ACRES,LOUISVILLE,KY,40218,27,1988/06/07 00:00:00,292
695,SWIMMING AREA,191,SWIMMING POOL,29311,ROYAL AMBASSADOR,1602 GARDINER LN,LOUISVILLE,KY,40205,27,1988/06/07 00:00:00,293
695,SWIMMING AREA,191,SWIMMING POOL,29314,ROYAL ARMS APTS,1900 BASHFORD MANOR LN,LOUISVILLE,KY,40218,28,1988/06/07 00:00:00,294
695,SWIMMING AREA,191,SWIMMING POOL,29315,MARY T. MEAGHER AQUATIC CENTER,201 RESERVOIR AVE,LOUISVILLE,KY,40206,26,1988/08/03 00:00:00,295
695,SWIMMING AREA,191,SWIMMING POOL,29317,ROYAL COACH CONDOMINIUMS,5701 COACH GATE WYNDE,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,296
695,SWIMMING AREA,191,SWIMMING POOL,29391,THE WILLOWS OF PLAINVIEW,9800 WILLOW BROOK CIRCLE,LOUISVILLE,KY,40223,25,1988/06/07 00:00:00,297
695,SWIMMING AREA,191,SWIMMING POOL,92579,U OF L - TRAINING POOL,2216 S FLOYD ST,LOUISVILLE,KY,40208,23,2013/06/30 00:00:00,298
695,SWIMMING AREA,191,SWIMMING POOL,36946,MARY T. MEAGHER AQUATIC CENTER,201 RESERVOIR AVE,LOUISVILLE,KY,40206,26,1989/01/24 00:00:00,299
695,SWIMMING AREA,191,SWIMMING POOL,78766,HILTON GARDEN INN,9850 PARK PLAZA AVE,LOUISVILLE,KY,40241,21,2007/08/02 00:00:00,300
695,SWIMMING AREA,191,SWIMMING POOL,29405,GLENVIEW,5100 U S HWY 42,LOUISVILLE,KY,40241,21,1988/06/07 00:00:00,301
695,SWIMMING AREA,191,SWIMMING POOL,92827,SOUTHPOINT AT VALLEY FARMS,10200 RENAISSANCE VALLEY WAY,LOUISVILLE,KY,40272,23,2013/05/24 00:00:00,302
695,SWIMMING AREA,191,SWIMMING POOL,93087,CLAIBORNE CROSSING,14601 PULPIT DRIVE,LOUISVILLE,KY,40245,25,2014/04/10 00:00:00,303
695,SWIMMING AREA,197,SPA,93101,VU CLUB,822 S. FLOYD ST.,LOUISVILLE,KY,40202,28,2014/03/27 00:00:00,304
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,93658,BLAIRWOOD SWIM CLUB,9300 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,2014/06/13 00:00:00,305
695,SWIMMING AREA,197,SPA,93920,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,22,2013/09/25 00:00:00,306
