AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2095,POLICE OFFICER                     ,M,W ,40 - 49,42,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,17,103
2096,POLICE OFFICER                     ,M,B ,50 - 59,56,4TH DIVISION                                           ,STAFF                                                  ,20,104
2097,POLICE SERGEANT                    ,M,W ,40 - 49,48,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,17,105
2098,POLICE OFFICER                     ,M,W ,40 - 49,48,3RD DIVISION                                           ,1ST PLATOON                                            ,17,106
2099,POLICE CHIEF                       ,M,W ,OVER 60,66,CHIEF`S STAFF                                          ,STAFF                                                  ,42,107
2100,POLICE OFFICER                     ,M,W ,40 - 49,42,5TH DIVISION                                           ,1ST PLATOON                                            ,19,108
2101,POLICE OFFICER                     ,M,W ,OVER 60,70,FORMER EMPLOYEE                                        ,,122,109
2102,POLICE OFFICER                     ,M,W ,50 - 59,58,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,25,110
2103,POLICE SERGEANT                    ,M,H ,40 - 49,42,1ST DIVISION                                           ,2ND PLATOON                                            ,17,111
2105,POLICE OFFICER                     ,M,B ,OVER 60,67,FORMER EMPLOYEE                                        ,,42,112
2106,POLICE OFFICER                     ,M,W ,40 - 49,49,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,25,113
2107,POLICE OFFICER                     ,M,W ,50 - 59,57,FORMER EMPLOYEE                                        ,,17,114
2108,POLICE OFFICER                     ,M,W ,OVER 60,70,TRAFFIC                                                ,4TH PLATOON                                            ,42,115
2109,POLICE OFFICER                     ,M,W ,40 - 49,41,8TH DIVISION                                           ,1ST PLATOON                                            ,18,116
2110,POLICE OFFICER                     ,M,B ,50 - 59,50,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,17,117
2111,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,8TH DIVISION                                           ,STAFF                                                  ,20,118
2112,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,5TH DIVISION                                           ,STAFF                                                  ,20,119
2113,POLICE OFFICER                     ,F,W ,40 - 49,49,4TH DIVISION                                           ,DETECTIVES                                             ,25,120
2114,POLICE MAJOR                       ,M,W ,OVER 60,66,FORMER EMPLOYEE                                        ,,0,121
2115,POLICE MAJOR                       ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,42,122
2116,POLICE SERGEANT                    ,M,W ,40 - 49,43,CANINE UNIT                                            ,STAFF                                                  ,17,123
2117,POLICE OFFICER                     ,F,W ,50 - 59,52,5TH DIVISION                                           ,1ST PLATOON                                            ,25,124
2118,POLICE OFFICER                     ,M,W ,50 - 59,54,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,17,125
2120,POLICE OFFICER                     ,F,W ,50 - 59,52,FORMER EMPLOYEE                                        ,,25,126
2121,POLICE SERGEANT                    ,M,W ,50 - 59,55,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,24,127
2122,POLICE OFFICER                     ,M,W ,40 - 49,41,3RD DIVISION                                           ,DETECTIVES                                             ,17,128
2123,POLICE LIEUTENANT                  ,F,W ,OVER 60,72,FORMER EMPLOYEE                                        ,,42,129
2124,POLICE LIEUTENANT                  ,M,W ,OVER 60,72,FORMER EMPLOYEE                                        ,,122,130
2125,POLICE SERGEANT                    ,M,W ,50 - 59,50,SWAT UNIT                                              ,STAFF                                                  ,24,131
2126,POLICE OFFICER                     ,M,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,122,132
2127,POLICE OFFICER                     ,M,W ,OVER 60,70,5TH DIVISION                                           ,1ST PLATOON                                            ,25,133
2128,POLICE SERGEANT                    ,M,W ,50 - 59,52,1ST DIVISION                                           ,1ST PLATOON                                            ,17,134
2129,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,17,135
2130,POLICE LIEUTENANT                  ,F,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,41,136
2131,POLICE LIEUTENANT                  ,M,W ,OVER 60,65,5TH DIVISION                                           ,STAFF                                                  ,42,137
2133,POLICE OFFICER                     ,M,B ,OVER 60,71,FORMER EMPLOYEE                                        ,,122,138
2134,POLICE SERGEANT                    ,M,W ,50 - 59,51,9TH DIVISION                                           ,STAFF                                                  ,25,139
2136,POLICE OFFICER                     ,F,W ,40 - 49,49,FORMER EMPLOYEE                                        ,,25,140
2139,POLICE SERGEANT                    ,F,W ,40 - 49,43,CIS HOMICIDE                                           ,SQUAD 4                                                ,17,141
2140,POLICE OFFICER                     ,M,W ,40 - 49,49,9TH DIVISION                                           ,FUGITIVE APPREHENSION SQUAD                            ,23,142
2141,POLICE OFFICER                     ,M,B ,OVER 60,64,FORMER EMPLOYEE                                        ,,39,143
2142,POLICE OFFICER                     ,M,B ,OVER 60,61,TRAFFIC                                                ,2ND PLATOON                                            ,21,144
2143,POLICE OFFICER                     ,M,W ,40 - 49,43,TRAINING                                               ,BASIC ACADEMY                                          ,17,145
2144,POLICE OFFICER                     ,M,W ,40 - 49,40,FORMER EMPLOYEE                                        ,,17,146
2146,POLICE OFFICER                     ,M,B ,OVER 60,62,FORMER EMPLOYEE                                        ,,37,147
2147,POLICE OFFICER                     ,F,B ,OVER 60,65,FORMER EMPLOYEE                                        ,,37,148
2148,POLICE OFFICER                     ,M,B ,OVER 60,73,2ND DIVISION                                           ,2ND PLATOON                                            ,37,149
2151,POLICE OFFICER                     ,F,W ,40 - 49,47,6TH DIVISION                                           ,RESOURCE OFFICERS                                      ,23,150
2152,POLICE OFFICER                     ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,37,151
2153,POLICE OFFICER                     ,M,B ,OVER 60,70,FORMER EMPLOYEE                                        ,,37,152
2154,POLICE OFFICER                     ,M,B ,OVER 60,65,FORMER EMPLOYEE                                        ,,37,153
2155,POLICE LIEUTENANT                  ,F,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,37,154
2156,POLICE OFFICER                     ,M,W ,OVER 60,64,FORMER EMPLOYEE                                        ,,37,155
2157,POLICE LIEUTENANT                  ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,37,156
2159,POLICE LIEUTENANT                  ,F,W ,OVER 60,69,FORMER EMPLOYEE                                        ,,37,157
2161,POLICE OFFICER                     ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,35,158
2162,POLICE OFFICER                     ,M,B ,OVER 60,66,1ST DIVISION                                           ,STAFF                                                  ,35,159
2163,POLICE OFFICER                     ,F,W ,40 - 49,40,CIS HOMICIDE                                           ,SQUAD 1                                                ,18,160
2165,POLICE OFFICER                     ,M,W ,50 - 59,58,WELLNESS UNIT                                          ,STAFF                                                  ,14,161
2166,POLICE SERGEANT                    ,M,B ,OVER 60,63,FORMER EMPLOYEE                                        ,,35,162
2167,POLICE OFFICER                     ,M,W ,OVER 60,66,2ND DIVISION                                           ,HALO/DRO                                               ,13,163
2168,POLICE OFFICER                     ,M,W ,OVER 60,63,FORMER EMPLOYEE                                        ,,35,164
2169,POLICE OFFICER                     ,M,B ,OVER 60,62,FORMER EMPLOYEE                                        ,,35,165
2170,POLICE SERGEANT                    ,M,W ,40 - 49,44,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,17,166
2171,POLICE OFFICER                     ,M,B ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,167
2172,POLICE OFFICER                     ,M,B ,OVER 60,64,FORMER EMPLOYEE                                        ,,35,168
2174,POLICE LIEUTENANT                  ,M,W ,OVER 60,67,PATROL BUREAU                                          ,STAFF                                                  ,35,169
2175,POLICE SERGEANT                    ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,35,170
2176,POLICE OFFICER                     ,M,W ,50 - 59,57,FORMER EMPLOYEE                                        ,,35,171
2177,POLICE OFFICER                     ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,35,172
2178,POLICE OFFICER                     ,M,W ,OVER 60,63,6TH DIVISION                                           ,2ND PLATOON                                            ,35,173
2179,POLICE OFFICER                     ,F,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,35,174
2180,POLICE SERGEANT                    ,F,B ,OVER 60,63,FORMER EMPLOYEE                                        ,,35,175
2181,POLICE OFFICER                     ,M,B ,OVER 60,60,FORMER EMPLOYEE                                        ,,35,176
2184,POLICE OFFICER                     ,M,W ,OVER 60,61,8TH DIVISION                                           ,2ND PLATOON                                            ,35,177
2185,POLICE OFFICER                     ,M,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,35,178
2186,POLICE SERGEANT                    ,M,B ,50 - 59,51,2ND DIVISION                                           ,2ND PLATOON                                            ,25,179
2187,POLICE LIEUTENANT                  ,M,W ,OVER 60,60,5TH DIVISION                                           ,STAFF                                                  ,35,180
2188,POLICE OFFICER                     ,M,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,35,181
2189,POLICE MAJOR                       ,M,W ,40 - 49,41,PATROL BUREAU                                          ,STAFF                                                  ,17,182
2190,POLICE SERGEANT                    ,M,W ,50 - 59,57,2ND DIVISION                                           ,2ND PLATOON                                            ,35,183
2191,POLICE SERGEANT                    ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,184
2192,POLICE OFFICER                     ,M,B ,50 - 59,58,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,35,185
2193,POLICE OFFICER                     ,M,W ,OVER 60,63,FORMER EMPLOYEE                                        ,,35,186
2194,POLICE SERGEANT                    ,M,W ,OVER 60,67,5TH DIVISION                                           ,1ST PLATOON                                            ,35,187
2195,POLICE OFFICER                     ,F,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,188
2196,POLICE OFFICER                     ,M,B ,50 - 59,58,FORMER EMPLOYEE                                        ,,35,189
2197,POLICE SERGEANT                    ,M,W ,50 - 59,51,NARCOTICS                                              ,STAFF                                                  ,25,190
2198,POLICE LIEUTENANT                  ,M,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,35,191
2199,POLICE OFFICER                     ,M,W ,50 - 59,58,2ND DIVISION                                           ,FLEX PLATOON                                           ,23,192
2200,POLICE OFFICER                     ,F,B ,OVER 60,62,8TH DIVISION                                           ,2ND PLATOON                                            ,35,193
2201,POLICE SERGEANT                    ,M,W ,OVER 60,64,CRIMES AGAINST CHILDREN                                ,MISSING PERSONS                                        ,35,194
2202,POLICE OFFICER                     ,M,W ,OVER 60,60,CIS FORENSIC INVESTIGATIONS                            ,VIDEO FORENSICS                                        ,35,195
2203,POLICE SERGEANT                    ,M,B ,OVER 60,62,FORMER EMPLOYEE                                        ,,35,196
2204,POLICE OFFICER                     ,M,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,35,197
2205,POLICE OFFICER                     ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,198
2206,POLICE OFFICER                     ,M,B ,OVER 60,63,5TH DIVISION                                           ,2ND PLATOON                                            ,34,199
2208,POLICE OFFICER                     ,M,W ,OVER 60,60,FORMER EMPLOYEE                                        ,,34,200
2209,POLICE OFFICER                     ,M,B ,50 - 59,56,FORMER EMPLOYEE                                        ,,34,201
2210,POLICE LIEUTENANT                  ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,34,202
