AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
7408,POLICE OFFICER                     ,M,W ,30 - 39,32,8TH DIVISION                                           ,2ND PLATOON                                            ,5,2114
7409,POLICE OFFICER                     ,M,W ,30 - 39,37,3RD DIVISION                                           ,2ND PLATOON                                            ,5,2115
7410,POLICE OFFICER                     ,M,W ,21 - 29,28,2ND DIVISION                                           ,1ST PLATOON                                            ,5,2116
7398,POLICE OFFICER                     ,M,W ,30 - 39,31,4TH DIVISION                                           ,1ST PLATOON                                            ,5,2117
7422,POLICE OFFICER                     ,M,B ,21 - 29,28,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,5,2118
7393,POLICE OFFICER                     ,M,B ,30 - 39,30,CIS HOMICIDE                                           ,SQUAD 2                                                ,5,2119
7419,POLICE OFFICER                     ,M,A ,21 - 29,28,6TH DIVISION                                           ,2ND PLATOON                                            ,5,2120
7417,POLICE OFFICER                     ,M,W ,21 - 29,28,1ST DIVISION                                           ,2ND PLATOON                                            ,5,2121
7399,POLICE RECRUIT                     ,M,W ,21 - 29,29,TRAINING                                               ,RECRUITS                                               ,0,2122
7396,POLICE OFFICER                     ,M,W ,21 - 29,27,5TH DIVISION                                           ,2ND PLATOON                                            ,5,2123
7400,POLICE OFFICER                     ,M,B ,40 - 49,41,6TH DIVISION                                           ,1ST PLATOON                                            ,5,2124
7403,POLICE OFFICER                     ,M,W ,21 - 29,28,5TH DIVISION                                           ,1ST PLATOON                                            ,5,2125
7415,POLICE OFFICER                     ,M,W ,30 - 39,31,7TH DIVISION                                           ,2ND PLATOON                                            ,5,2126
7391,POLICE OFFICER                     ,M,W ,30 - 39,36,4TH DIVISION                                           ,DETECTIVES                                             ,5,2127
7407,POLICE OFFICER                     ,M,W ,30 - 39,34,4TH DIVISION                                           ,1ST PLATOON                                            ,5,2128
7414,POLICE OFFICER                     ,M,W ,21 - 29,28,7TH DIVISION                                           ,2ND PLATOON                                            ,5,2129
7389,POLICE OFFICER                     ,M,W ,30 - 39,33,8TH DIVISION                                           ,1ST PLATOON                                            ,5,2130
7392,POLICE RECRUIT                     ,M,W ,30 - 39,30,TRAINING                                               ,RECRUITS                                               ,0,2131
7388,POLICE OFFICER                     ,M,W ,30 - 39,34,2ND DIVISION                                           ,DETECTIVES                                             ,5,2132
7402,POLICE OFFICER                     ,M,W ,40 - 49,44,4TH DIVISION                                           ,1ST PLATOON                                            ,5,2133
7397,POLICE OFFICER                     ,M,W ,40 - 49,41,7TH DIVISION                                           ,DETECTIVES                                             ,5,2134
7387,POLICE OFFICER                     ,M,B ,21 - 29,29,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,5,2135
7394,POLICE RECRUIT                     ,M,B ,30 - 39,38,TRAINING                                               ,RECRUITS                                               ,0,2136
7413,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,2ND PLATOON                                            ,5,2137
7395,POLICE RECRUIT                     ,F,B ,30 - 39,38,TRAINING                                               ,RECRUITS                                               ,0,2138
7390,POLICE OFFICER                     ,M,W ,21 - 29,28,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,5,2139
7412,POLICE RECRUIT                     ,M,W ,30 - 39,35,TRAINING                                               ,RECRUITS                                               ,0,2140
7424,POLICE OFFICER                     ,M,W ,21 - 29,29,3RD DIVISION                                           ,1ST PLATOON                                            ,5,2141
7430,POLICE OFFICER                     ,M,W ,21 - 29,27,1ST DIVISION                                           ,DETECTIVES                                             ,5,2142
7431,POLICE OFFICER                     ,M,W ,21 - 29,29,6TH DIVISION                                           ,1ST PLATOON                                            ,5,2143
7436,POLICE OFFICER                     ,F,W ,30 - 39,30,8TH DIVISION                                           ,1ST PLATOON                                            ,5,2144
7437,POLICE OFFICER                     ,M,W ,21 - 29,29,2ND DIVISION                                           ,1ST PLATOON                                            ,5,2145
7442,POLICE OFFICER                     ,M,W ,40 - 49,45,7TH DIVISION                                           ,1ST PLATOON                                            ,5,2146
7448,POLICE OFFICER                     ,F,W ,30 - 39,32,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2147
7451,POLICE OFFICER                     ,M,A ,30 - 39,35,TRAINING                                               ,BASIC ACADEMY                                          ,5,2148
7455,POLICE OFFICER                     ,F,W ,21 - 29,29,4TH DIVISION                                           ,1ST PLATOON                                            ,5,2149
7457,POLICE RECRUIT                     ,M,W ,50 - 59,51,TRAINING                                               ,RECRUITS                                               ,0,2150
7459,POLICE RECRUIT                     ,M,W ,30 - 39,38,TRAINING                                               ,RECRUITS                                               ,0,2151
7460,POLICE OFFICER                     ,M,B ,21 - 29,29,2ND DIVISION                                           ,1ST PLATOON                                            ,5,2152
7425,POLICE OFFICER                     ,M,W ,30 - 39,32,1ST DIVISION                                           ,2ND PLATOON                                            ,5,2153
7432,POLICE OFFICER                     ,M,W ,21 - 29,28,4TH DIVISION                                           ,1ST PLATOON                                            ,5,2154
7434,POLICE OFFICER                     ,M,B ,30 - 39,31,2ND DIVISION                                           ,2ND PLATOON                                            ,5,2155
7435,POLICE OFFICER                     ,M,W ,21 - 29,28,4TH DIVISION                                           ,1ST PLATOON                                            ,5,2156
7439,POLICE OFFICER                     ,M,W ,21 - 29,27,2ND DIVISION                                           ,1ST PLATOON                                            ,5,2157
7440,POLICE OFFICER                     ,M,W ,21 - 29,28,8TH DIVISION                                           ,2ND PLATOON                                            ,5,2158
7443,POLICE RECRUIT                     ,M,B ,30 - 39,30,TRAINING                                               ,RECRUITS                                               ,0,2159
7444,POLICE OFFICER                     ,M,W ,21 - 29,29,3RD DIVISION                                           ,2ND PLATOON                                            ,5,2160
7445,POLICE OFFICER                     ,M,B ,21 - 29,28,2ND DIVISION                                           ,DETECTIVES                                             ,5,2161
7446,POLICE OFFICER                     ,M,W ,21 - 29,29,2ND DIVISION                                           ,1ST PLATOON                                            ,5,2162
7447,POLICE RECRUIT                     ,M,W ,30 - 39,31,TRAINING                                               ,RECRUITS                                               ,0,2163
7449,POLICE OFFICER                     ,M,W ,30 - 39,31,7TH DIVISION                                           ,2ND PLATOON                                            ,5,2164
7450,POLICE OFFICER                     ,F,W ,30 - 39,32,4TH DIVISION                                           ,1ST PLATOON                                            ,5,2165
7452,POLICE OFFICER                     ,F,W ,21 - 29,29,8TH DIVISION                                           ,1ST PLATOON                                            ,5,2166
7453,POLICE OFFICER                     ,M,H ,30 - 39,31,4TH DIVISION                                           ,1ST PLATOON                                            ,5,2167
7454,POLICE OFFICER                     ,F,B ,21 - 29,29,1ST DIVISION                                           ,1ST PLATOON                                            ,5,2168
7456,POLICE RECRUIT                     ,M,W ,30 - 39,33,TRAINING                                               ,RECRUITS                                               ,0,2169
7458,POLICE OFFICER                     ,M,B ,30 - 39,31,2ND DIVISION                                           ,1ST PLATOON                                            ,5,2170
7426,POLICE OFFICER                     ,M,W ,30 - 39,36,4TH DIVISION                                           ,2ND PLATOON                                            ,5,2171
7433,POLICE OFFICER                     ,M,W ,21 - 29,29,6TH DIVISION                                           ,2ND PLATOON                                            ,5,2172
7438,POLICE RECRUIT                     ,M,W ,21 - 29,28,TRAINING                                               ,RECRUITS                                               ,0,2173
7427,POLICE OFFICER                     ,M,W ,30 - 39,39,3RD DIVISION                                           ,1ST PLATOON                                            ,5,2174
7429,POLICE OFFICER                     ,M,W ,30 - 39,31,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,5,2175
7441,POLICE OFFICER                     ,M,H ,21 - 29,29,7TH DIVISION                                           ,1ST PLATOON                                            ,0,2176
7461,POLICE OFFICER                     ,M,W ,30 - 39,39,2ND DIVISION                                           ,2ND PLATOON                                            ,0,2177
7462,POLICE OFFICER                     ,F,W ,30 - 39,33,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2178
7463,POLICE OFFICER                     ,M,W ,30 - 39,33,1ST DIVISION                                           ,1ST PLATOON                                            ,0,2179
7464,POLICE OFFICER                     ,M,W ,30 - 39,30,1ST DIVISION                                           ,2ND PLATOON                                            ,0,2180
7465,POLICE OFFICER                     ,M,W ,30 - 39,35,7TH DIVISION                                           ,1ST PLATOON                                            ,0,2181
7466,POLICE OFFICER                     ,M,B ,30 - 39,32,2ND DIVISION                                           ,2ND PLATOON                                            ,0,2182
7467,POLICE OFFICER                     ,M,U ,30 - 39,35,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2183
7468,POLICE OFFICER                     ,M,W ,30 - 39,35,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2184
7469,POLICE OFFICER                     ,F,B ,30 - 39,33,2ND DIVISION                                           ,DETECTIVES                                             ,0,2185
7470,POLICE OFFICER                     ,M,B ,21 - 29,29,4TH DIVISION                                           ,2ND PLATOON                                            ,0,2186
7472,POLICE OFFICER                     ,M,W ,21 - 29,28,4TH DIVISION                                           ,DETECTIVES                                             ,0,2187
7473,POLICE OFFICER                     ,M,W ,21 - 29,28,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2188
7474,POLICE OFFICER                     ,M,W ,30 - 39,30,7TH DIVISION                                           ,1ST PLATOON                                            ,0,2189
7475,POLICE OFFICER                     ,M,W ,30 - 39,30,8TH DIVISION                                           ,2ND PLATOON                                            ,0,2190
7476,POLICE OFFICER                     ,F,W ,21 - 29,29,CIS HOMICIDE                                           ,SQUAD 3                                                ,0,2191
7477,POLICE RECRUIT                     ,F,A ,21 - 29,29,TRAINING                                               ,RECRUITS                                               ,0,2192
7478,POLICE RECRUIT                     ,M,B ,30 - 39,30,TRAINING                                               ,RECRUITS                                               ,0,2193
7479,POLICE OFFICER                     ,M,W ,30 - 39,36,CANINE UNIT                                            ,2ND PLATOON                                            ,0,2194
7480,POLICE OFFICER                     ,M,W ,21 - 29,28,6TH DIVISION                                           ,2ND PLATOON                                            ,0,2195
7481,POLICE OFFICER                     ,M,B ,30 - 39,30,2ND DIVISION                                           ,2ND PLATOON                                            ,0,2196
7482,POLICE OFFICER                     ,M,W ,30 - 39,33,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2197
7483,POLICE OFFICER                     ,M,W ,40 - 49,47,TRAFFIC                                                ,3RD PLATOON                                            ,0,2198
7484,POLICE OFFICER                     ,M,W ,30 - 39,34,7TH DIVISION                                           ,DETECTIVES                                             ,0,2199
7487,POLICE OFFICER                     ,M,W ,30 - 39,30,1ST DIVISION                                           ,DETECTIVES                                             ,0,2200
7485,POLICE OFFICER                     ,M,W ,30 - 39,37,3RD DIVISION                                           ,DETECTIVES                                             ,0,2201
7486,POLICE OFFICER                     ,M,W ,21 - 29,29,7TH DIVISION                                           ,1ST PLATOON                                            ,0,2202
7488,POLICE OFFICER                     ,M,W ,21 - 29,27,5TH DIVISION                                           ,2ND PLATOON                                            ,0,2203
7489,POLICE OFFICER                     ,M,W ,21 - 29,29,2ND DIVISION                                           ,2ND PLATOON                                            ,0,2204
7496,POLICE OFFICER                     ,M,W ,21 - 29,29,3RD DIVISION                                           ,1ST PLATOON                                            ,0,2205
7490,POLICE RECRUIT                     ,M,H ,30 - 39,33,TRAINING                                               ,RECRUITS                                               ,0,2206
7491,POLICE RECRUIT                     ,M,W ,40 - 49,46,TRAINING                                               ,RECRUITS                                               ,0,2207
7492,POLICE OFFICER                     ,F,W ,21 - 29,28,6TH DIVISION                                           ,DETECTIVES                                             ,0,2208
7493,POLICE OFFICER                     ,M,W ,30 - 39,31,VEHICLE IMPOUNDMENT                                    ,1ST PLATOON                                            ,0,2209
7494,POLICE OFFICER                     ,M,H ,40 - 49,43,8TH DIVISION                                           ,1ST PLATOON                                            ,0,2210
7495,POLICE OFFICER                     ,M,B ,21 - 29,28,4TH DIVISION                                           ,DETECTIVES                                             ,0,2211
5000,POLICE OFFICER                     ,M,W ,21 - 29,27,CIS HOMICIDE                                           ,SQUAD 3                                                ,0,2212
5001,POLICE OFFICER                     ,M,W ,30 - 39,30,TRAFFIC                                                ,3RD PLATOON                                            ,0,2213
7497,POLICE OFFICER                     ,M,B ,30 - 39,32,6TH DIVISION                                           ,STAFF                                                  ,0,2214
7498,POLICE RECRUIT                     ,M,W ,30 - 39,38,TRAINING                                               ,RECRUITS                                               ,0,2215
7499,POLICE RECRUIT                     ,M,B ,40 - 49,40,TRAINING                                               ,RECRUITS                                               ,0,2216
5002,POLICE OFFICER                     ,F,B ,21 - 29,29,8TH DIVISION                                           ,1ST PLATOON                                            ,0,2217
5003,POLICE OFFICER                     ,M,W ,21 - 29,27,2ND DIVISION                                           ,STAFF                                                  ,0,2218
5004,POLICE OFFICER                     ,M,W ,40 - 49,43,8TH DIVISION                                           ,2ND PLATOON                                            ,0,2219
5005,POLICE OFFICER                     ,M,W ,21 - 29,27,7TH DIVISION                                           ,1ST PLATOON                                            ,0,2220
5006,POLICE OFFICER                     ,M,W ,30 - 39,33,5TH DIVISION                                           ,1ST PLATOON                                            ,0,2221
5007,POLICE OFFICER                     ,M,W ,40 - 49,48,8TH DIVISION                                           ,2ND PLATOON                                            ,0,2222
7471,POLICE OFFICER                     ,M,W ,30 - 39,33,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,0,2223
40579,POLICE RECRUIT                     ,M,W ,50 - 59,50,,,0,2224
5008,POLICE OFFICER                     ,M,B ,21 - 29,29,1ST DIVISION                                           ,DETECTIVES                                             ,0,2225
5009,POLICE RECRUIT                     ,M,A ,30 - 39,37,TRAINING                                               ,RECRUITS                                               ,0,2226
5010,POLICE RECRUIT                     ,M,W ,30 - 39,36,TRAINING                                               ,RECRUITS                                               ,0,2227
5011,POLICE OFFICER                     ,M,H ,30 - 39,38,7TH DIVISION                                           ,DETECTIVES                                             ,0,2228
5012,POLICE RECRUIT                     ,M,B ,21 - 29,27,TRAINING                                               ,RECRUITS                                               ,0,2229
5013,POLICE RECRUIT                     ,M,W ,21 - 29,28,TRAINING                                               ,RECRUITS                                               ,0,2230
5014,POLICE OFFICER                     ,M,W ,21 - 29,28,7TH DIVISION                                           ,2ND PLATOON                                            ,0,2231
5015,POLICE RECRUIT                     ,F,W ,21 - 29,28,TRAINING                                               ,RECRUITS                                               ,0,2232
5016,POLICE OFFICER                     ,M,B ,30 - 39,36,4TH DIVISION                                           ,DETECTIVES                                             ,0,2233
5017,POLICE RECRUIT                     ,M,B ,30 - 39,30,TRAINING                                               ,RECRUITS                                               ,0,2234
5018,POLICE OFFICER                     ,M,W ,50 - 59,50,1ST DIVISION                                           ,1ST PLATOON                                            ,0,2235
5019,POLICE OFFICER                     ,M,W ,30 - 39,30,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2236
5020,POLICE OFFICER                     ,M,W ,21 - 29,28,5TH DIVISION                                           ,1ST PLATOON                                            ,0,2237
5021,POLICE OFFICER                     ,M,W ,21 - 29,28,1ST DIVISION                                           ,1ST PLATOON                                            ,0,2238
5022,POLICE OFFICER                     ,F,W ,30 - 39,36,4TH DIVISION                                           ,2ND PLATOON                                            ,0,2239
5023,POLICE RECRUIT                     ,M,W ,21 - 29,28,TRAINING                                               ,RECRUITS                                               ,0,2240
5024,POLICE OFFICER                     ,M,B ,30 - 39,30,6TH DIVISION                                           ,2ND PLATOON                                            ,0,2241
5025,POLICE OFFICER                     ,F,W ,30 - 39,34,1ST DIVISION                                           ,1ST PLATOON                                            ,0,2242
5026,POLICE OFFICER                     ,M,W ,30 - 39,37,CIS HOMICIDE                                           ,SQUAD 4                                                ,0,2243
5027,POLICE OFFICER                     ,F,W ,30 - 39,35,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2244
5028,POLICE OFFICER                     ,M,W ,21 - 29,29,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2245
5029,POLICE OFFICER                     ,M,W ,21 - 29,28,5TH DIVISION                                           ,2ND PLATOON                                            ,0,2246
5030,POLICE OFFICER                     ,M,B ,40 - 49,42,8TH DIVISION                                           ,2ND PLATOON                                            ,0,2247
5032,POLICE OFFICER                     ,M,W ,30 - 39,30,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2248
5033,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,2ND PLATOON                                            ,0,2249
5034,POLICE RECRUIT                     ,M,B ,OVER 60,61,TRAINING                                               ,RECRUITS                                               ,0,2250
5036,POLICE OFFICER                     ,F,U ,30 - 39,31,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2251
5037,POLICE OFFICER                     ,M,W ,30 - 39,31,4TH DIVISION                                           ,DETECTIVES                                             ,0,2252
5038,POLICE OFFICER                     ,M,W ,21 - 29,29,4TH DIVISION                                           ,2ND PLATOON                                            ,0,2253
5039,POLICE OFFICER                     ,M,W ,21 - 29,28,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2254
5040,POLICE OFFICER                     ,M,W ,30 - 39,31,7TH DIVISION                                           ,1ST PLATOON                                            ,0,2255
5041,POLICE OFFICER                     ,M,W ,21 - 29,27,8TH DIVISION                                           ,1ST PLATOON                                            ,0,2256
5042,POLICE OFFICER                     ,M,W ,30 - 39,33,7TH DIVISION                                           ,1ST PLATOON                                            ,0,2257
5043,POLICE OFFICER                     ,M,W ,30 - 39,31,3RD DIVISION                                           ,2ND PLATOON                                            ,0,2258
5045,POLICE OFFICER                     ,M,W ,30 - 39,35,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2259
5046,POLICE OFFICER                     ,M,W ,21 - 29,29,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2260
5047,POLICE OFFICER                     ,M,W ,21 - 29,27,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,0,2261
5048,POLICE OFFICER                     ,M,W ,30 - 39,34,3RD DIVISION                                           ,2ND PLATOON                                            ,0,2262
5049,POLICE RECRUIT                     ,M,B ,40 - 49,44,TRAINING                                               ,RECRUITS                                               ,0,2263
5050,POLICE OFFICER                     ,M,H ,21 - 29,27,4TH DIVISION                                           ,2ND PLATOON                                            ,0,2264
5052,POLICE OFFICER                     ,F,W ,30 - 39,31,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,0,2265
5053,POLICE OFFICER                     ,M,W ,30 - 39,30,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2266
5054,POLICE OFFICER                     ,M,W ,21 - 29,28,2ND DIVISION                                           ,2ND PLATOON                                            ,0,2267
5056,POLICE OFFICER                     ,M,W ,30 - 39,37,8TH DIVISION                                           ,2ND PLATOON                                            ,0,2268
5057,POLICE OFFICER                     ,M,W ,21 - 29,29,2ND DIVISION                                           ,DETECTIVES                                             ,0,2269
5059,POLICE OFFICER                     ,M,W ,21 - 29,27,3RD DIVISION                                           ,2ND PLATOON                                            ,0,2270
5100,POLICE OFFICER                     ,M,W ,21 - 29,28,3RD DIVISION                                           ,1ST PLATOON                                            ,0,2271
5101,POLICE OFFICER                     ,M,W ,21 - 29,27,7TH DIVISION                                           ,1ST PLATOON                                            ,0,2272
5102,POLICE OFFICER                     ,M,W ,30 - 39,35,8TH DIVISION                                           ,1ST PLATOON                                            ,0,2273
5104,POLICE OFFICER                     ,M,B ,30 - 39,39,5TH DIVISION                                           ,2ND PLATOON                                            ,0,2274
5105,POLICE OFFICER                     ,M,W ,30 - 39,30,1ST DIVISION                                           ,DETECTIVES                                             ,0,2275
5106,POLICE OFFICER                     ,F,B ,30 - 39,32,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2276
5107,POLICE OFFICER                     ,M,W ,21 - 29,27,7TH DIVISION                                           ,1ST PLATOON                                            ,0,2277
5108,POLICE OFFICER                     ,M,W ,30 - 39,38,1ST DIVISION                                           ,DETECTIVES                                             ,0,2278
5109,POLICE OFFICER                     ,M,W ,21 - 29,28,8TH DIVISION                                           ,1ST PLATOON                                            ,0,2279
5110,POLICE OFFICER                     ,M,B ,21 - 29,29,3RD DIVISION                                           ,1ST PLATOON                                            ,0,2280
5112,POLICE OFFICER                     ,M,W ,40 - 49,40,5TH DIVISION                                           ,DETECTIVES                                             ,0,2281
5113,POLICE OFFICER                     ,M,B ,21 - 29,29,8TH DIVISION                                           ,1ST PLATOON                                            ,0,2282
5114,POLICE OFFICER                     ,M,W ,30 - 39,34,VEHICLE IMPOUNDMENT                                    ,STAFF                                                  ,0,2283
5115,POLICE OFFICER                     ,M,W ,21 - 29,28,7TH DIVISION                                           ,1ST PLATOON                                            ,0,2284
5116,POLICE OFFICER                     ,M,W ,30 - 39,30,5TH DIVISION                                           ,DETECTIVES                                             ,0,2285
5117,POLICE OFFICER                     ,M,W ,21 - 29,26,5TH DIVISION                                           ,DETECTIVES                                             ,0,2286
5118,POLICE OFFICER                     ,M,W ,40 - 49,40,CIS HOMICIDE                                           ,SQUAD 1                                                ,0,2287
5119,POLICE OFFICER                     ,M,B ,40 - 49,45,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2288
5121,POLICE OFFICER                     ,M,W ,30 - 39,32,3RD DIVISION                                           ,2ND PLATOON                                            ,0,2289
5122,POLICE OFFICER                     ,M,W ,21 - 29,28,1ST DIVISION                                           ,BIKE PLATOON                                           ,0,2290
5123,POLICE OFFICER                     ,M,W ,30 - 39,34,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2291
5124,POLICE OFFICER                     ,M,W ,40 - 49,49,1ST DIVISION                                           ,DETECTIVES                                             ,0,2292
5125,POLICE RECRUIT                     ,M,B ,40 - 49,45,TRAINING                                               ,RECRUITS                                               ,0,2293
5126,POLICE RECRUIT                     ,M,B ,30 - 39,31,TRAINING                                               ,RECRUITS                                               ,0,2294
5127,POLICE OFFICER                     ,M,W ,30 - 39,35,4TH DIVISION                                           ,DETECTIVES                                             ,0,2295
5128,POLICE OFFICER                     ,M,W ,21 - 29,28,8TH DIVISION                                           ,2ND PLATOON                                            ,0,2296
5129,POLICE OFFICER                     ,F,W ,30 - 39,31,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2297
5130,POLICE OFFICER                     ,M,W ,30 - 39,35,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2298
5131,POLICE OFFICER                     ,M,W ,30 - 39,34,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2299
5132,POLICE OFFICER                     ,M,W ,21 - 29,26,2ND DIVISION                                           ,DETECTIVES                                             ,0,2300
5133,POLICE OFFICER                     ,F,B ,40 - 49,44,RECORDS MANAGEMENT                                     ,LMPD SERVICE CENTER                                    ,0,2301
5134,POLICE RECRUIT                     ,M,W ,30 - 39,35,TRAINING                                               ,RECRUITS                                               ,0,2302
5136,POLICE OFFICER                     ,M,W ,30 - 39,39,3RD DIVISION                                           ,DETECTIVES                                             ,0,2303
5137,POLICE OFFICER                     ,M,W ,40 - 49,45,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2304
5111,POLICE OFFICER                     ,M,W ,21 - 29,29,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2305
5120,POLICE OFFICER                     ,F,W ,30 - 39,30,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2306
5135,POLICE OFFICER                     ,M,B ,30 - 39,36,1ST DIVISION                                           ,2ND PLATOON                                            ,0,2307
5138,POLICE OFFICER                     ,M,W ,30 - 39,32,7TH DIVISION                                           ,DETECTIVES                                             ,0,2308
5139,POLICE OFFICER                     ,M,W ,21 - 29,29,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2309
5140,POLICE OFFICER                     ,F,W ,21 - 29,29,2ND DIVISION                                           ,2ND PLATOON                                            ,0,2310
5141,POLICE OFFICER                     ,M,W ,40 - 49,41,7TH DIVISION                                           ,2ND PLATOON                                            ,0,2311
5142,POLICE OFFICER                     ,M,W ,50 - 59,52,3RD DIVISION                                           ,2ND PLATOON                                            ,0,2312
5144,POLICE OFFICER                     ,F,B ,21 - 29,27,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,0,2313
5145,POLICE RECRUIT                     ,M,W ,30 - 39,32,TRAINING                                               ,RECRUITS                                               ,0,2314
5146,POLICE OFFICER                     ,M,W ,21 - 29,26,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2315
5147,POLICE RECRUIT                     ,F,H ,21 - 29,27,TRAINING                                               ,RECRUITS                                               ,0,2316
5148,POLICE OFFICER                     ,M,W ,30 - 39,33,1ST DIVISION                                           ,DETECTIVES                                             ,0,2317
5149,POLICE OFFICER                     ,M,B ,21 - 29,26,RECORDS MANAGEMENT                                     ,LMPD SERVICE CENTER                                    ,0,2318
5150,POLICE OFFICER                     ,M,W ,21 - 29,26,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2319
5151,POLICE OFFICER                     ,M,W ,30 - 39,34,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,0,2320
5164,POLICE OFFICER                     ,M,W ,21 - 29,26,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2321
5152,POLICE OFFICER                     ,M,W ,30 - 39,32,CIS HOMICIDE                                           ,SQUAD 4                                                ,0,2322
5153,POLICE OFFICER                     ,M,B ,30 - 39,36,6TH DIVISION                                           ,2ND PLATOON                                            ,0,2323
5154,POLICE OFFICER                     ,M,W ,21 - 29,27,1ST DIVISION                                           ,2ND PLATOON                                            ,0,2324
5155,POLICE OFFICER                     ,M,W ,40 - 49,42,8TH DIVISION                                           ,2ND PLATOON                                            ,0,2325
5156,POLICE OFFICER                     ,F,W ,21 - 29,28,CHIEF`S STAFF                                          ,STAFF                                                  ,0,2326
5157,POLICE OFFICER                     ,M,W ,21 - 29,28,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2327
5103,POLICE OFFICER                     ,F,W ,30 - 39,30,3RD DIVISION                                           ,2ND PLATOON                                            ,0,2328
5158,POLICE OFFICER                     ,M,W ,30 - 39,30,1ST DIVISION                                           ,DETECTIVES                                             ,0,2329
5159,POLICE OFFICER                     ,M,W ,21 - 29,29,7TH DIVISION                                           ,2ND PLATOON                                            ,0,2330
5160,POLICE OFFICER                     ,M,W ,21 - 29,26,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2331
5161,POLICE OFFICER                     ,M,W ,30 - 39,30,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2332
5162,POLICE OFFICER                     ,M,W ,30 - 39,32,VEHICLE IMPOUNDMENT                                    ,STAFF                                                  ,0,2333
5163,POLICE OFFICER                     ,M,W ,30 - 39,30,4TH DIVISION                                           ,2ND PLATOON                                            ,0,2334
5165,POLICE OFFICER                     ,M,W ,21 - 29,27,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2335
5166,POLICE OFFICER                     ,M,B ,21 - 29,26,6TH DIVISION                                           ,2ND PLATOON                                            ,0,2336
5167,POLICE RECRUIT                     ,F,W ,30 - 39,36,TRAINING                                               ,RECRUITS                                               ,0,2337
5168,POLICE OFFICER                     ,M,W ,30 - 39,34,1ST DIVISION                                           ,1ST PLATOON                                            ,0,2338
5169,POLICE OFFICER                     ,M,W ,21 - 29,28,7TH DIVISION                                           ,2ND PLATOON                                            ,0,2339
5170,POLICE OFFICER                     ,M,B ,21 - 29,28,TRAFFIC                                                ,3RD PLATOON                                            ,0,2340
5171,POLICE OFFICER                     ,F,W ,30 - 39,36,6TH DIVISION                                           ,1ST PLATOON                                            ,0,2341
5172,POLICE OFFICER                     ,M,W ,21 - 29,26,1ST DIVISION                                           ,2ND PLATOON                                            ,0,2342
5204,POLICE OFFICER                     ,M,W ,30 - 39,31,4TH DIVISION                                           ,DETECTIVES                                             ,0,2343
5173,POLICE OFFICER                     ,M,W ,30 - 39,34,1ST DIVISION                                           ,1ST PLATOON                                            ,0,2344
5175,POLICE OFFICER                     ,F,W ,21 - 29,27,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2345
